iter	Passed	Remaining
0	14	28732
1	27	27928
2	41	27775
3	55	27678
4	68	27287
5	80	26863
6	92	26291
7	104	26069
8	116	25847
9	127	25410
10	139	25301
11	152	25256
12	165	25306
13	177	25164
14	190	25201
15	204	25379
16	225	26273
17	247	27239
18	265	27633
19	281	27827
20	293	27660
21	307	27653
22	321	27651
23	339	27953
24	356	28158
25	374	28405
26	389	28481
27	405	28529
28	420	28607
29	437	28719
30	453	28811
31	467	28741
32	482	28750
33	494	28603
34	506	28408
35	517	28241
36	531	28177
37	545	28145
38	556	27984
39	569	27909
40	581	27805
41	595	27743
42	607	27631
43	618	27485
44	631	27413
45	643	27332
46	655	27229
47	668	27181
48	683	27209
49	695	27130
50	710	27152
51	733	27470
52	755	27736
53	775	27941
54	790	27961
55	806	28004
56	821	28000
57	839	28104
58	855	28137
59	880	28467
60	901	28656
61	922	28832
62	943	29008
63	961	29085
64	978	29128
65	994	29146
66	1010	29141
67	1026	29159
68	1042	29183
69	1060	29229
70	1077	29271
71	1096	29361
72	1112	29367
73	1129	29387
74	1164	29900
75	1187	30057
76	1205	30115
77	1222	30120
78	1240	30160
79	1256	30154
80	1292	30632
81	1320	30883
82	1341	30981
83	1357	30962
84	1372	30925
85	1389	30935
86	1405	30912
87	1423	30928
88	1439	30909
89	1455	30882
90	1470	30848
91	1487	30847
92	1505	30864
93	1521	30844
94	1535	30790
95	1551	30767
96	1569	30784
97	1585	30780
98	1606	30853
99	1621	30800
100	1635	30746
101	1651	30724
102	1666	30699
103	1681	30654
104	1699	30663
105	1716	30664
106	1738	30764
107	1762	30884
108	1786	30997
109	1810	31107
110	1826	31088
111	1840	31033
112	1854	30976
113	1877	31054
114	1890	30994
115	1906	30964
116	1920	30916
117	1937	30905
118	1953	30884
119	1970	30863
120	1985	30838
121	2003	30843
122	2020	30828
123	2035	30791
124	2052	30780
125	2067	30745
126	2082	30719
127	2099	30707
128	2115	30685
129	2133	30686
130	2148	30654
131	2164	30624
132	2179	30595
133	2194	30562
134	2211	30547
135	2228	30540
136	2242	30493
137	2258	30475
138	2273	30432
139	2286	30383
140	2301	30338
141	2323	30407
142	2354	30580
143	2381	30698
144	2397	30675
145	2414	30664
146	2429	30629
147	2446	30614
148	2461	30580
149	2477	30556
150	2492	30520
151	2511	30539
152	2527	30517
153	2543	30486
154	2558	30457
155	2574	30429
156	2589	30400
157	2606	30384
158	2622	30366
159	2637	30335
160	2653	30306
161	2668	30276
162	2683	30247
163	2698	30212
164	2718	30232
165	2734	30216
166	2753	30217
167	2769	30196
168	2786	30192
169	2803	30173
170	2821	30176
171	2843	30225
172	2869	30307
173	2885	30279
174	2899	30238
175	2917	30233
176	2932	30200
177	2949	30191
178	2964	30154
179	2981	30148
180	2996	30118
181	3014	30110
182	3028	30072
183	3047	30073
184	3061	30035
185	3078	30026
186	3094	30000
